"model","converged","all_ok","aic","hessian_ok","eigen_values_ok","nlminb_ok","range_ok","gradients_ok","se_magnitude_ok","se_na_ok","sigmas_ok","delta"
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15797.2716908783,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15797.3552318205,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.083540942199761
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15799.2257754225,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.95408454420249
"avNASC-sm_day-sm_depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15799.2716908558,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.99999997746636
"avNASC-sm_depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15799.7603078402,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.48861696189124
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15846.3128310141,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,49.0411401357487
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15847.833705709,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,50.5620148307135
"avNASC-depth-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15848.7783317079,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51.5066408295643
"avNASC-sm_day-depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15849.833705381,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,52.5620145027096
"avNASC-day-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15855.1175622536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57.8458713752807
"avNASC-sm_day-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15857.1175627749,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,59.8458718965339
"avNASC-sm_day-linear_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15858.8471132428,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,61.5754223644362
"avNASC-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,TRUE,15859.0636019236,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61.7919110452822
"avNASC-sm_day-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15860.676203188,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,63.404512309633
"avNASC-sm_day-gam_phyto-tweedie-log-spatial-on-spatiotemp-iid-Aniso-746-knots",TRUE,FALSE,15860.8471129121,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,63.5754220337622
"avNASC-sm_day-sm_depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15929.4790213336,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,132.20733045523
"avNASC-sm_day-sm_depth-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15931.4707142569,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,134.199023378553
"avNASC-sm_day-sm_depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,15931.4790222163,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,134.207331337924
"avNASC-sm_day-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15944.1699209058,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,146.89823002746
"avNASC-sm_depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15960.0043412701,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,162.732650391774
"avNASC-sm_day-depth-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15977.5187922481,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,180.247101369796
"avNASC-sm_day-depth-gam_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,15979.5187930133,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,182.247102134917
"avNASC-sm_day-depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15987.8858245136,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,190.614133635301
"avNASC-sm_day-linear_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15990.6098286874,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,193.338137809098
"avNASC-sm_day-quadratic_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15992.3212605798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,195.049569701479
"avNASC-sm_day-gam_phyto-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,FALSE,15992.6098293996,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,195.338138521261
"avNASC-day-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,15999.1460907616,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,201.874399883311
"avNASC-depth-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16000.4845291357,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,203.212838257396
"avNASC-sm_day-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16000.510718424,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,203.239027545706
"avNASC-tweedie-log-spatial-on-spatiotemp-off-Aniso-746-knots",TRUE,TRUE,16011.9635320417,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,214.691841163361
